f01.4511. - 179 - Gai.111.§5194...19s.

⁴ Omuclbxsurmllursxuelexpxcelzeporesvurpnuoe
4 λΙιᾳυιεροεΝλτεΝελτλτηυλειῃυῃτυωυεὶλδυΙΐοιιι
4 umssbomlcubnumxbmusserfffiweolmbmt(emi-
4 funrumfi·p=tuousolume·qu1smre1mpneumen-
⁵ aemalueuxmxbmoueremeuemiuenc‘qumemau
4 emm!Nuttobommozmectmudslquuslzemau
4 xexpureumbeposmsttumulzpumumcommu
4 τιτετειᾳυιευτεΝδλωῃεωλοοερεῃιτελωῆ-ιΝλΙῐῑῖ·
4“ υευωηὶλκετυΙειυηῑυῃτιοῦῑιᾳλτυῃῦυτιειρυ4344
44 ᾳεκτυωυτεκδυωλοοερεῃιτηυλειλωιεοελδοθκ
44 omumumunusnooxuefmeubpeneqneseeaeute
44 ιιιτῑειᾳυ4ελεο-ᾳεετλκδιᾳῃλτιλοοωωοδλτυωίοκ
44 muscumxhquobuxemrquerenscmpsenumbo
44 εοηυιιΝλοιεοψδυκιεεεῐρΙλςυιΠΤη·εοεᾳ44ιῦ444
44 οοωωοδλτιελ[ιτειωτεῃεκτυῃᾳυπεκδλελοεε
44 ριεεεκτιτλμυῃτυωοοωωμπειιεεμΝτεὶεαλκτιδ,
44 semuuwobommmeelzeeumqsn{mellextssem
44 Npmlssulzumursnpmtssunumcnebemexm³
44 ρυῃτιοῃιωεκυιδειὶιορτιωλελκεῦιετιΝοτιοέο
44 ΡυῃτυωειΝεδῖῆ·ῆοοωωιττιτυῃεέτειοιὶεδλωι
44 ᾳυιειΝυιτοδοωιΝοεειὶεωτῃεοτλμεδοωικοῐῖ
44 υοίεκῐριδριλτδιοιτυῃῃυῃτυωῡριεῃιυκδειὶἱυτ
44 ’(Ῑειτυωετρῧλτυωὲθτιῐιυεὲῖὶ4ηευωοοίῑιᾳιτλιὶετ
44 υτᾳυλεδλωῃωιὴιευθμιρειὶετθῐλδευωριῑεῃετ

Pagina interior facillime legitur. Ξ littera ⁴8⁸ τ, non τ’ fuit. 6 littera 454 Ν ex
, τ correcta est.

 

